,actor,role,film,year,winner
0,Janet Gaynor ,Diane,7th Heaven,1927,1
1,Louise Dresser,Mrs. Pleznik,A Ship Comes In,1927,0
2,Gloria Swanson,Sadie Thompson,Sadie Thompson,1927,0
3,Mary Pickford ,Norma Besant,Coquette,1928,1
4,Ruth Chatterton,Jacqueline Floriot,Madame X,1928,0
5,Betty Compson,Carrie,The Barker,1928,0
6,Jeanne Eagels (p.n.),Leslie Crosbie,The Letter,1928,0
7,Corinne Griffith,Emma Hamilton,The Divine Lady,1928,0
8,Bessie Love,Hank Mahoney,The Broadway Melody,1928,0
9,Norma Shearer [A],Jerry Bernard Martin,The Divorcee,1929,1
10,Nancy Carroll,Hallie Hobart,The Devil's Holiday,1929,0
11,Ruth Chatterton,Sarah Storm,Sarah and Son,1929,0
12,Greta Garbo[A],Anna Christie,Anna Christie,1929,0
13,Norma Shearer,Lucia Marlett,Their Own Desire,1929,0
14,Gloria Swanson,Marion Donnell,The Trespasser,1929,0
15,Marie Dressler ,Min Divot,Min and Bill,1930,1
16,Marlene Dietrich,Mademoiselle Amy Jolly,Morocco,1930,0
17,Irene Dunne,Sabra Cravat,Cimarron,1930,0
18,Ann Harding,Linda Seton,Holiday,1930,0
19,Norma Shearer,Jan Ashe,A Free Soul,1930,0
20,Helen Hayes ,Madelon Claudet,The Sin of Madelon Claudet,1931,1
21,Marie Dressler,Emma Thatcher Smith,Emma,1931,0
22,Lynn Fontanne,The Actress,The Guardsman,1931,0
23,Katharine Hepburn ,Eva Lovelace,Morning Glory,1932,1
24,May Robson,Apple Annie,Lady for a Day,1932,0
25,Diana Wynyard,Jane Marryot,Cavalcade,1932,0
26,Claudette Colbert ,Ellie Andrews,It Happened One Night,1934,1
27,Grace Moore,Mary Barrett,One Night of Love,1934,0
28,Norma Shearer,Elizabeth Barrett,The Barretts of Wimpole Street,1934,0
29,Bette Davis (Write-in) [B],Mildred Rogers,Of Human Bondage,1934,0
30,Bette Davis ,Joyce Heath,Dangerous,1935,1
31,Elisabeth Bergner,Gemma Jones,Escape Me Never,1935,0
32,Claudette Colbert,Jane Everest,Private Worlds,1935,0
33,Katharine Hepburn,Alice Adams,Alice Adams,1935,0
34,Miriam Hopkins,Becky Sharp,Becky Sharp,1935,0
35,Merle Oberon,Kitty Vane,The Dark Angel,1935,0
36,Luise Rainer ,Anna Held,The Great Ziegfeld,1936,1
37,Irene Dunne,Theodora Lynn / Caroline Adams,Theodora Goes Wild,1936,0
38,Gladys George,Carrie Snyder,Valiant Is the Word for Carrie,1936,0
39,Carole Lombard,Irene Bullock,My Man Godfrey,1936,0
40,Norma Shearer,Juliet Capulet,Romeo and Juliet,1936,0
41,Luise Rainer ,O-Lan,The Good Earth,1937,1
42,Irene Dunne,Lucy Warriner,The Awful Truth,1937,0
43,Greta Garbo, Marguerite Gautier,Camille,1937,0
44,Janet Gaynor,Esther Victoria Blodgett / Vicki Lester,A Star Is Born,1937,0
45,Barbara Stanwyck,Stella Martin Dallas,Stella Dallas,1937,0
46,Bette Davis ,Julie Marsden,Jezebel,1938,1
47,Fay Bainter,Hannah Parmalee,White Banners,1938,0
48,Wendy Hiller,Eliza Doolittle,Pygmalion,1938,0
49,Norma Shearer,Marie Antoinette,Marie Antoinette,1938,0
50,Margaret Sullavan,"Patricia ""Pat"" Hollmann",Three Comrades,1938,0
