,director,film,year,winner
0,Frank Borzage (Dramatic Picture),7th Heaven,1927,1
1,Herbert Brenon (Dramatic Picture),Sorrell and Son,1927,0
2,King Vidor (Dramatic Picture),The Crowd,1927,0
3,Lewis Milestone (Comedy Picture),Two Arabian Knights,1927,1
4,Ted Wilde (Comedy Picture),Speedy,1927,0
5,Frank Lloyd,The Divine Lady,1928,1
6,Lionel Barrymore,Madame X,1928,0
7,Harry Beaumont,The Broadway Melody,1928,0
8,Irving Cummings,In Old Arizona,1928,0
9,Frank Lloyd,Drag,1928,0
10,Ernst Lubitsch,The Patriot,1928,0
11,Lewis Milestone,All Quiet on the Western Front,1929,1
12,Clarence Brown,Anna Christie,1929,0
13,Robert Z. Leonard,The Divorcee,1929,0
14,Ernst Lubitsch,The Love Parade,1929,0
15,King Vidor,Hallelujah!,1929,0
16,Norman Taurog,Skippy,1930,1
17,Clarence Brown,A Free Soul,1930,0
18,Lewis Milestone,The Front Page,1930,0
19,Wesley Ruggles,Cimarron,1930,0
20,Josef von Sternberg,Morocco,1930,0
21,Frank Borzage,Bad Girl,1931,1
22,King Vidor,The Champ,1931,0
23,Josef von Sternberg,Shanghai Express,1931,0
24,Frank Lloyd,Cavalcade,1932,1
25,Frank Capra,Lady for a Day,1932,0
26,George Cukor,Little Women,1932,0
27,Frank Capra,It Happened One Night,1934,1
28,Victor Schertzinger,One Night of Love,1934,0
29,W. S. Van Dyke,The Thin Man,1934,0
30,John Ford,The Informer,1935,1
31,Henry Hathaway,The Lives of a Bengal Lancer,1935,0
32,Frank Lloyd,Mutiny on the Bounty,1935,0
33,Frank Capra,Mr. Deeds Goes to Town,1936,1
34,Gregory La Cava,My Man Godfrey,1936,0
35,Robert Z. Leonard,The Great Ziegfeld,1936,0
36,W. S. Van Dyke,San Francisco,1936,0
37,William Wyler,Dodsworth,1936,0
38,Leo McCarey,The Awful Truth,1937,1
39,William Dieterle,The Life of Emile Zola,1937,0
40,Sidney Franklin,The Good Earth,1937,0
41,Gregory La Cava,Stage Door,1937,0
42,William A. Wellman,A Star Is Born,1937,0
43,Frank Capra,You Can't Take It with You,1938,1
44,Michael Curtiz,Angels with Dirty Faces,1938,0
45,Norman Taurog,Boys Town,1938,0
46,King Vidor,The Citadel,1938,0
47,Victor Fleming,Gone with the Wind,1939,1
48,Frank Capra,Mr. Smith Goes to Washington,1939,0
49,John Ford,Stagecoach,1939,0
50,Sam Wood,"Goodbye, Mr. Chips",1939,0
51,William Wyler,Wuthering Heights,1939,0
52,John Ford,The Grapes of Wrath,1940,1
53,George Cukor,The Philadelphia Story,1940,0
54,Alfred Hitchcock,Rebecca,1940,0
55,Sam Wood,Kitty Foyle,1940,0
56,William Wyler,The Letter,1940,0
57,John Ford,How Green Was My Valley,1941,1
58,Alexander Hall,Here Comes Mr. Jordan,1941,0
59,Howard Hawks,Sergeant York,1941,0
60,Orson Welles,Citizen Kane,1941,0
61,William Wyler,The Little Foxes,1941,0
62,William Wyler,Mrs. Miniver,1942,1
63,Michael Curtiz,Yankee Doodle Dandy,1942,0
64,John Farrow,Wake Island,1942,0
65,Mervyn LeRoy,Random Harvest,1942,0
66,Sam Wood,Kings Row,1942,0
67,Michael Curtiz,Casablanca,1943,1
68,Clarence Brown,The Human Comedy,1943,0
69,Henry King,The Song of Bernadette,1943,0
70,Ernst Lubitsch,Heaven Can Wait,1943,0
71,George Stevens,The More the Merrier,1943,0
72,Leo McCarey,Going My Way,1944,1
73,Alfred Hitchcock,Lifeboat,1944,0
74,Henry King,Wilson,1944,0
75,Otto Preminger,Laura,1944,0
76,Billy Wilder,Double Indemnity,1944,0
77,Billy Wilder,The Lost Weekend,1945,1
78,Clarence Brown,National Velvet,1945,0
79,Alfred Hitchcock,Spellbound,1945,0
80,Leo McCarey,The Bells of St. Mary's,1945,0
81,Jean Renoir,The Southerner,1945,0
82,William Wyler,The Best Years of Our Lives,1946,1
83,Clarence Brown,The Yearling,1946,0
84,Frank Capra,It's a Wonderful Life,1946,0
85,David Lean,Brief Encounter,1946,0
86,Robert Siodmak,The Killers,1946,0
87,Elia Kazan,Gentleman's Agreement,1947,1
88,George Cukor,A Double Life,1947,0
89,Edward Dmytryk,Crossfire,1947,0
90,Henry Koster,The Bishop's Wife,1947,0
91,David Lean,Great Expectations,1947,0
92,John Huston,The Treasure of the Sierra Madre,1948,1
93,Anatole Litvak,The Snake Pit,1948,0
94,Jean Negulesco,Johnny Belinda,1948,0
95,Laurence Olivier,Hamlet,1948,0
96,Fred Zinnemann,The Search,1948,0
97,Joseph L. Mankiewicz,A Letter to Three Wives,1949,1
98,Carol Reed,The Fallen Idol,1949,0
99,Robert Rossen,All the King's Men,1949,0
100,William A. Wellman,Battleground,1949,0
101,William Wyler,The Heiress,1949,0
102,Joseph L. Mankiewicz,All About Eve,1950,1
103,George Cukor,Born Yesterday,1950,0
104,John Huston,The Asphalt Jungle,1950,0
105,Carol Reed,The Third Man,1950,0
106,Billy Wilder,Sunset Boulevard,1950,0
107,George Stevens,A Place in the Sun,1951,1
108,John Huston,The African Queen,1951,0
109,Elia Kazan,A Streetcar Named Desire,1951,0
110,Vincente Minnelli,An American in Paris,1951,0
111,William Wyler,Detective Story,1951,0
112,John Ford,The Quiet Man,1952,1
113,Cecil B. DeMille,The Greatest Show on Earth,1952,0
114,John Huston,Moulin Rouge,1952,0
115,Joseph L. Mankiewicz,5 Fingers,1952,0
116,Fred Zinnemann,High Noon,1952,0
117,Fred Zinnemann,From Here to Eternity,1953,1
118,George Stevens,Shane,1953,0
119,Charles Walters,Lili,1953,0
120,Billy Wilder,Stalag 17,1953,0
121,William Wyler,Roman Holiday,1953,0
122,Elia Kazan,On the Waterfront,1954,1
123,Alfred Hitchcock,Rear Window,1954,0
124,George Seaton,The Country Girl,1954,0
125,William A. Wellman,The High and the Mighty,1954,0
126,Billy Wilder,Sabrina,1954,0
127,Delbert Mann,Marty,1955,1
128,Elia Kazan,East of Eden,1955,0
129,David Lean,Summertime,1955,0
130,Joshua Logan,Picnic,1955,0
131,John Sturges,Bad Day at Black Rock,1955,0
132,George Stevens,Giant,1956,1
133,Michael Anderson,Around the World in 80 Days,1956,0
134,Walter Lang,The King and I,1956,0
135,King Vidor,War and Peace,1956,0
136,William Wyler,Friendly Persuasion,1956,0
137,David Lean,The Bridge on the River Kwai,1957,1
138,Joshua Logan,Sayonara,1957,0
139,Sidney Lumet,12 Angry Men,1957,0
140,Mark Robson,Peyton Place,1957,0
141,Billy Wilder,Witness for the Prosecution,1957,0
142,Vincente Minnelli,Gigi,1958,1
143,Richard Brooks,Cat on a Hot Tin Roof,1958,0
144,Stanley Kramer,The Defiant Ones,1958,0
145,Mark Robson,The Inn of the Sixth Happiness,1958,0
146,Robert Wise,I Want to Live!,1958,0
147,William Wyler,Ben-Hur,1959,1
148,Jack Clayton,Room at the Top,1959,0
149,George Stevens,The Diary of Anne Frank,1959,0
150,Billy Wilder,Some Like It Hot,1959,0
151,Fred Zinnemann,The Nun's Story,1959,0
152,Billy Wilder,The Apartment,1960,1
153,Jack Cardiff,Sons and Lovers,1960,0
154,Jules Dassin,Never on Sunday,1960,0
155,Alfred Hitchcock,Psycho,1960,0
156,Fred Zinnemann,The Sundowners,1960,0
157,Jerome Robbins & Robert Wise,West Side Story,1961,1
158,Federico Fellini,La Dolce Vita,1961,0
159,Stanley Kramer,Judgment at Nuremberg,1961,0
160,Robert Rossen,The Hustler,1961,0
161,J. Lee Thompson,The Guns of Navarone,1961,0
162,David Lean,Lawrence of Arabia,1962,1
163,Pietro Germi,Divorce Italian Style,1962,0
164,Robert Mulligan,To Kill a Mockingbird,1962,0
165,Arthur Penn,The Miracle Worker,1962,0
166,Frank Perry,David and Lisa,1962,0
167,Tony Richardson,Tom Jones,1963,1
168,Federico Fellini,8½,1963,0
169,Elia Kazan,America America,1963,0
170,Otto Preminger,The Cardinal,1963,0
171,Martin Ritt,Hud,1963,0
172,George Cukor,My Fair Lady,1964,1
173,Michael Cacoyannis,Zorba the Greek,1964,0
174,Peter Glenville,Becket,1964,0
175,Stanley Kubrick,Dr. Strangelove,1964,0
176,Robert Stevenson,Mary Poppins,1964,0
177,Robert Wise,The Sound of Music,1965,1
178,David Lean,Doctor Zhivago,1965,0
179,John Schlesinger,Darling,1965,0
180,Hiroshi Teshigahara,Woman in the Dunes,1965,0
181,William Wyler,The Collector,1965,0
182,Fred Zinnemann,A Man for All Seasons,1966,1
183,Michelangelo Antonioni,Blowup,1966,0
184,Richard Brooks,The Professionals,1966,0
185,Claude Lelouch,A Man and a Woman,1966,0
186,Mike Nichols,Who's Afraid of Virginia Woolf?,1966,0
187,Mike Nichols,The Graduate,1967,1
188,Richard Brooks,In Cold Blood,1967,0
189,Norman Jewison,In the Heat of the Night,1967,0
190,Stanley Kramer,Guess Who's Coming to Dinner,1967,0
